고유번호,언어,상호명,콘텐츠URL,주소,Latitude,Longitude,신주소,전화번호,웹사이트,운영시간,교통정보,홈페이지 언어,대표메뉴
5226,ko,사루비아,https://korean.visitseoul.net/restaurants/사루비아/KOP005226?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005226,135-889 서울 강남구 신사동 542-3 ,37.5200384,127.0236138,06036 서울 강남구 논현로153길 57 ,02-540-7344,https://www.instagram.com/sarubia_garosugil/,일~목 12:00 ~ 23:00 금~토 12:00 ~ 24:00,3호선 신사역 8번 출구,,"아보카도 푸타네스카 파스타, 쉬림프 블랙 오일 파스타, 사루비아 스테이크"
12291,ko,서강껍데기,https://korean.visitseoul.net/restaurants/서강껍데기/KOP012289?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012289, 마포구 서교동 383-1 ,37.5526895,126.9124804,04035 서울특별시 마포구 월드컵로 36 (서교동) ,02-701-8439,https://www.instagram.com/west_river__official,16:00~03:30 ,"2,6호선 합정역 9번 출구에서 약 311m (도보 4분)",,
47245,ko,휘뚜루,https://korean.visitseoul.net/restaurants/2024-whitturu/KOPtelk0a?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPtelk0a, 서울 성동구 성수동1가 656-1661 ,37.5426033,127.0485903,04779 서울 성동구 왕십리로2길 38 (성수동1가) ,070-4833-1345,https://www.instagram.com/whitturu.oden/,17:30 ~ 01:00 (00:00 라스트오더) ,수인분당선 서울숲역 1번 출구에서 약 439m (도보 6분) ,,
46955,ko,능동미나리 ,https://korean.visitseoul.net/restaurants/2024-ndminari/KOPu891p5?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPu891p5, 서울 용산구 한강로2가 148-6 ,37.530083,126.9707874,"04386 서울 용산구 한강대로40길 28 (한강로2가) 1층, 2층 ",0507-1388-1035,https://www.instagram.com/ndminari,월요일 ~ 금요일 11:00 ~ 23:00 (라스트오더 21:50) 토요일 ~ 일요일 10:30 ~ 23:00 (라스트오더 21:50) ,4호선 신용산역 1번 출구에서 약 221m (도보 4분) ,,
47062,ko,통영굴밥 ,https://korean.visitseoul.net/restaurants/2024-tygulbap/KOPog3m2l?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPog3m2l, 서울 종로구 적선동 80 ,37.5753941,126.9732554,"03170 서울 종로구 사직로 130 (적선동, 적선현대빌딩) 지하 1층  ",02-736-0559 ,,월요일 ~ 금요일 11:00~20:30 토요일 14:00 ,3호선 경복궁역 6번 출구에서 약 10m (도보 1분) ,,
47041,ko,무에 ,https://korean.visitseoul.net/restaurants/2024-mueh/KOPsv8mse?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPsv8mse, 서울 종로구 계동 76 ,37.5808332,126.9866653,03056 서울 종로구 북촌로8길 28 (계동) ,0507-1389-9260,https://www.instagram.com/cafe_mueh/ ,월요일 10:00~19:00 화요일 ~ 일요일 10:00~20:00 ,3호선 안국역 3번 출구에서 약 479m (도보 7분) ,,
4549,ko,청일집,https://korean.visitseoul.net/restaurants/청일집-KR/KOP004547?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004547,122-860 서울 은평구 불광동 310-11 연서시장 A동 1층 24호 ,37.6192823,126.9214788,"03345 서울 은평구 통일로 850 (불광동, 연서시장) 연서시장 A동 1층 24호 ",02-732-2626,,평일 10:00~23:00 주말 11:00~23:00  ,"3,6호선 연신내역 2번 출구에서 약 12m (도보 1분)",,빈대떡
6805,ko,자하손만두,https://korean.visitseoul.net/restaurants/자하손만두/KOP006805?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006805,110-817 서울 종로구 부암동 245-2 ,37.5931183,126.9660427,03020 서울 종로구 백석동길 12 ,02-379-2648,,화~일 11:00~21:00,3호선 경복궁역 3번 출구,,"만두국, 떡만두국, 만두전골"
6599,ko,갯마을낙지,https://korean.visitseoul.net/restaurants/갯마을낙지/KOP006597?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006597,138-862 서울 송파구 잠실동 197-7,37.5089625,127.0798171,"05562 서울 송파구 백제고분로9길 6 (잠실동, sms) ",02-412-7895,,11:00 ~ 24:00 ,2호선 종합운동장역 1번 출구  ,,산낙지 철판 
2570,ko,예당,https://korean.visitseoul.net/restaurants/예당--Yedang/KOP002567?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP002567, 서울 강남구 신사동 628-16 628-20,37.522619,127.0325255,06026 서울 강남구 언주로153길 7 (신사동) 2층 ,0507-1443-2526,,11:30 ~ 15:00 / 17:30 ~ 21:30,3호선 압구정역 3번 출구  ,,
13056,ko,희락,https://korean.visitseoul.net/restaurants/희락/KOP013055?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013055,100-804 서울특별시 중구 남창동 34-34,37.5599063,126.9770883,04528 서울특별시 중구 남대문시장길 22-6 (남창동) ,02-755-3449,,07:00 ~ 21:00,4호선 회현역 6번 출구에서 약 294m (도보 4분),,
4826,ko,이태원숯불구이,https://korean.visitseoul.net/restaurants/이태원숯불구이/KOP004826?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004826,140-863 서울 용산구 이태원동 44-50 ,37.5328486,126.9907927,04390 서울 용산구 녹사평대로32길 43 (이태원동) ,02-797-7777,,매일 11:30~22:00,6호선 녹사평역 3번 출구,,"특등심, 일반등심, 곰탕"
47560,ko,연희동 라이라이 본점,https://korean.visitseoul.net/restaurants/2024-lailaiYH/KOP8g4m6k?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP8g4m6k, 서울 서대문구 연희동 132-27 ,37.5685534,126.9304667,"03703 서울 서대문구 연희로15길 27 (연희동), 1층  ",0507-1311-3203,,목요일~화요일 11:30~22:00 (라스트오더 21:20),"2호선, 경의중앙선, 공항철도 홍대입구역 3번 출구에서 약 1.4km (도보 23분)",,
47036,ko,법원 ,https://korean.visitseoul.net/restaurants/2024-bourbon/KOP8uf172?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP8uf172, 서울 종로구 계동 140-51 ,37.5792594,126.987371,03058 서울 종로구 창덕궁1길 33 (계동) ,02-745-1933 ,https://www.instagram.com/bourbon.bar/ ,14:00 ~ 01:00,3호선 안국역 3번 출구에서 약 320m (도보 5분) ,,
11581,ko,콩두,https://korean.visitseoul.net/restaurants/콩두/KOP011581?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011581,100-120 서울 중구 정동 1-54 ,37.5677077,126.9740319,04519 서울 중구 덕수궁길 116-1 서울 역사박물관 1층,02-722-7002,https://congdu.modoo.at/,매일 11:30~15:00 / 18:00~22:00,5호선 광화문역 6번 출구   ,,"초록빛 코스, 햇빛 코스, 물빛 코스"
12120,ko,열차집 ,https://korean.visitseoul.net/restaurants/열차집/KOP012120?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012120,110-160 서울 종로구 공평동 130-1 ,37.5717032,126.9827896,03158 서울 종로구 종로7길 47 (공평동) ,0507-1440-2849,http://trainhouse.blogspot.kr/ ,"평일 11:00~23:00, 토요일 14:00~22:00, 일요일 14:00~18:00",1호선 종각역 2번 출구에서 약 98m (도보 1분),,"원조빈대떡, 굴전, 해물파전, 조개탕"
27461,ko,시루케이크,https://korean.visitseoul.net/restaurants/시루케이크/KOP027461?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP027461, 서울 마포구 합정동 355-8 ,37.5467925,126.9182748,"04073 서울 마포구 어울마당로1길 18 (합정동, 합정주택) ",070-4177-7700,https://www.instagram.com/siroocake/?igshid=aywpoidg5w2n,월~토 11:00~20:00,"2,6호선 합정역 7번 출구에서 약 551m (도보 7분)",한국어,"설기케이크, 떡케이크, 크림대추라떼"
12702,ko,차크라,https://korean.visitseoul.net/restaurants/차크라/KOP012701?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012701,140-884 서울특별시 용산구 한남동 28-9,37.5344972,127.0096897,04419 서울특별시 용산구 독서당로 83 (한남동) ,02-796-1149,http://www.chakraa.co.kr/,"매일 12:00~15:00, 17:00~21:00 ",경의중앙선 한남역 1번 출구에서 약 758m (도보 10분) ,,"치킨 마크니, 탄두리 세트, 야채 커리"
4073,ko,시실리,https://korean.visitseoul.net/restaurants/시실리/KOP004069?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004069,137-805 서울 서초구 반포동 90-11 90-11,37.4973269,126.998492,06577 서울 서초구 서래로 26 (반포동) ,02-591-1929,,12:00 ~ 22:00,"3,7,9호선 고속터미널역 5번 출구에서 약 918m (도보 14분)",,커피전문점 
45741,ko,클럽 에스프레소,https://korean.visitseoul.net/restaurants/2024-CLUBESPRESSO/KOPne0oy5?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPne0oy5, 서울 종로구 부암동 257-1 ,37.5926553,126.9659796,03020 서울 종로구 창의문로 132 (부암동) ,02-764-8719,https://www.clubespresso.co.kr/,화요일~일요일 09:00~19:00 라스트오더 18:50 ,"3호선 경복궁역 3번 출구에서 7212, 7022,1020 버스 탑승",한국어,
47069,ko,스태픽스 ,https://korean.visitseoul.net/restaurants/2024-staffpicks/KOP43p481?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP43p481, 서울 종로구 필운동 32-1 ,37.577474,126.9679098,03027 서울 종로구 사직로9길 22 (필운동) 102호  ,010-2243-2712 ,,10:00~21:00 ,경복궁역 1번 출구에서 약 501m (도보 9분) ,,
47124,ko,필담,https://korean.visitseoul.net/restaurants/2024-pildam/KOP90lngm?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP90lngm, 서울 마포구 망원동 384-45 ,37.5533387,126.9083735,04018 서울 마포구 동교로 55 2층,,https://www.instagram.com/lounge_continuum/,매일 12:00 ~ 22:00 ,6호선 망원역 2번 출구에서 약 514m (도보 7분),,
47483,ko,카페 트마리 ,https://korean.visitseoul.net/restaurants/2024-cafeteumari/KOP1gia34?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP1gia34, 서울 종로구 권농동 182-7 ,37.5749593,126.9915812,03134 서울 종로구 서순라길 107-1 (권농동) ,0507-1368-6798,https://www.instagram.com/teumari_cafe/, 월요일~토요일 : 11:00~23:00  일요일 : 11:00~22:00,"1, 3, 5호선 종로3가역 7번 출구에서 약 300m (도보 5분)",,
5504,ko,큰기와집,https://korean.visitseoul.net/restaurants/큰기와집/KOP005504?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005504, 서울 종로구 재동 49-6 ,37.578793,126.9854313,03059 서울 종로구 북촌로 22 (재동 49-6) 1층 ,02-722-9024,https://blog.naver.com/keunkiwajip_0501,11:30 - 21:00 (20:00 라스트오더) 15:00 - 17:30 (브레이크타임),3호선 안국역 2번 출구에서 178m (도보 2분),"한국어,영어,일어,중국어(번체)","간장게장, 양념게장, 꽃게장 비빔밥, 인삼 갈비찜"
4355,ko,자인뭉티기,https://korean.visitseoul.net/restaurants/자인뭉티기/KOP004355?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004355,137-863 서울 서초구 서초동 1363-7 ,37.4851585,127.0321415,06735 서울 서초구 강남대로37길 24-7 (호원빌딩) ,02-597-2158,,"평일 11:00~14:30, 16:30~22:00","3,호선 신분당선 양재역 2번 출구에서 약 185m (도보 2분)",,"육회, 명품구이, 뭉티기초밥"
47529,ko,피즈소셜클럽,https://korean.visitseoul.net/restaurants/2024-fizzsocial/KOPoeqke0?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPoeqke0, 서울 중구 주교동 6-1 ,37.5690339,127.0013955,"04546 서울 중구 을지로35길 51-4 (주교동), 4층  ",0507-1377-4315,https://app.catchtable.co.kr/ct/shop/fizzsocialclub,11:30~20:00 (19:30 라스트오더),1호선 종로5가역 7번 출구에서 약 250m (도보 3분),,
13127,ko,문타로,https://korean.visitseoul.net/restaurants/문타로-KR/KOP013124?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013124,140-892 서울특별시 용산구 한남동 683-124,37.535519,126.9993344,04400 서울특별시 용산구 이태원로 230-1 (한남동) ,02-796-7232,,평일 18:00 ~ 02:30 주말 18:00 ~ 04:30,6호선 이태원역 2번 출구에서 약 484m (도보 6분),,"사시미, 굴후라이, 유린기, 가리비완자구이"
47487,ko,카페사사,https://korean.visitseoul.net/restaurants/2024-cafesasa/KOPyk1w4h?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPyk1w4h, 서울 종로구 권농동 144-1 ,37.5767413,126.9916241,"03134 서울 종로구 서순라길 147 (권농동) 1,2층 ",0507-1420-7001,http://www.instagram.com/sasa_seoul,매일 12:00~20:00,"1,3,5호선 종로3가역 7번 출구에서 약 523m (도보 8분)",,
15852,ko,슈퍼집,https://korean.visitseoul.net/restaurants/슈퍼집/KOP015852?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP015852,135-832 서울 강남구 논현동 246-1 ,37.5148483,127.0367806,"06098 서울 강남구 언주로130길 14 (논현동, 회림빌딩) ",0507-1439-1591,https://www.instagram.com/superzip_topokki_/,"월~금 11:30~13:50, 15:30~21:50","지하철 7호선 학동역 1번출구에서 도보 530m, 강남구청역 2번출구에서 480m",,"깻잎 떡볶이, 마늘 떡볶이"
47537,ko,커피한약방 혜화점,https://korean.visitseoul.net/restaurants/2024-coffehanyakbang/KOPscbjew?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPscbjew, 서울 종로구 동숭동 130-17 ,37.5808979,127.0048051,03085 서울 종로구 동숭2길 9 (동숭동) ,070-4200-4242,https://smartstore.naver.com/coffeehanyakbang,일요일~목요일 12:00~21:00  금요일~토요일 12:00~22:00  (영업종료 30분 전 라스트오더),4호선 혜화역 2번 출구에서 약 297m (도보 4분),,
14526,ko,부흥동태,https://korean.visitseoul.net/restaurants/부흥동태-kr/KOP014523?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014523,150-886 서울특별시 영등포구 여의도동 36-4,37.5202046,126.9272642,07331 서울특별시 영등포구 국제금융로8길 34 (여의도동) ,02-782-7707,,평일 09:00 ~ 22:00  토요일 11:00 ~ 15:00,"5,9호선 여의도역 5번 출구에서 약 385m (도보 5분)",,동태내장전골 동태알탕 동태탕
47305,ko,Ongoing,https://korean.visitseoul.net/restaurants/2024-Ongoing/KOPwdb2fm?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPwdb2fm, 서울 종로구 통인동 112 ,37.5804501,126.9709295,03036 서울 종로구 자하문로 49-1 (통인동) ,0507-1341-6598,https://www.instagram.com/cafe_ongoing,주중 07:00~18:00 주말 09:00~20:00,3호선 경복궁역 2번 출구에서 약 472m (도보 6분),,
47127,ko,라운지 희움,https://korean.visitseoul.net/restaurants/2024-loungeheeum/KOP60618n?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP60618n, 서울 강남구 역삼동 613-19 201호,37.5050417,127.0307616,06127 서울 강남구 봉은사로18길 15-5 (역삼동) 201호,0507-1432-1294,https://www.instagram.com/lounge_heeum,,9호선 언주역 8번 출구에서 약 436m (도보 8분),"한국어,영어",
39734,ko,광진구 인덱스숍,https://korean.visitseoul.net/restaurants/광진구-인덱스숍/KOP039734?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP039734, 서울 광진구 자양동 17-1 ,37.5411513,127.0659498,05071 서울 광진구 아차산로 200 (자양동) 커먼그라운드 3층,02-2122-1259,https://www.instagram.com/indexshop.kr/,11:00 ~ 22:00,"2, 7호선 건대입구역 6번 출구에서 약 200m (도보 2분) ",,"아인슈페너 6,500원 인덱스 블렌드 6,000원"
30237,ko,남한강 매운탕,https://korean.visitseoul.net/restaurants/남한강-매운탕/KOP030237?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP030237,134-830 서울 강동구 명일동 345-1 ,37.5476711,127.1437505,05295 서울 강동구 양재대로 1594 (명일동) ,02-481-7779,,매일 11:00 ~ 21:30,5호선 굽은다리역 3번 출구에서 약 216m (도보 3분),,
19417,ko,모범떡볶이1976 신촌직영점,https://korean.visitseoul.net/restaurants/모범떡볶이1976-신촌직영점/KOP019417?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP019417,120-834 서울 서대문구 창천동 53-23 ,37.5580222,126.9343868,"03787 서울 서대문구 연세로7길 46 (창천동, 창서빌딩) ",02-565-1976,http://www.mobumtopokki.com/,월~토 11:00~23:00  일 11:30~22:30  (준비시간: 매일 15:00~16:00),2호선 신촌역 1번 출구,,"통오징어 떡볶이, 차돌 떡볶이"
47248,ko,로우키 ,https://korean.visitseoul.net/restaurants/2024-lowkey/KOP26a8h5?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP26a8h5, 서울 성동구 성수동1가 22-8 ,37.544442,127.0477666,"04779 서울 성동구 뚝섬로1나길 5 (성수동1가, 헤이그라운드(HEYGROUND)) ",070-8824-2010,https://www.instagram.com/lowkey_coffee/,월요일~금요일 09:00~18:00 (라스트오더 17:40) 토요일~일요일 11:00~19:00 (라스트오더 18:40) ,2호선 뚝섬역 6번 출구에서 약 360m (도보 5분),,
14597,ko,부에노스아이레스,https://korean.visitseoul.net/restaurants/부에노스아이레스-KR/KOP014595?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014595,137-902 서울특별시 서초구 잠원동 8-2,37.5178509,127.0175682,06524 서울특별시 서초구 강남대로107길 21 (잠원동) ,02-3444-6634,http://www.buenosaires.co.kr/,"평일 18:00 ~ 22:30 토,공휴일 18:00 ~ 22:00",3호선 신사역 5번 출구  ,,"부에노스아이레스SET, 오벨리스코SET, 등심스테이크"
34997,ko,모퉁이와플 & 모퉁이피크닉,https://korean.visitseoul.net/restaurants/모퉁이와플/KOP034997?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP034997, 서울특별시 성동구 성수동1가 661-4 ,37.5458663,127.0449777,04778 서울 성동구 왕십리로 94 하늘식품 1층,070-4414-1682,http://naver.me/5844kwDQ,화~일: 12:00 ~ 20:00 (16:00 ~ 17:00 브레이크타임),2호선 뚝섬역 6번 출구,한국어,
14616,ko,모녀김밥,https://korean.visitseoul.net/restaurants/모녀김밥/KOP014615?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014615, 서울특별시 종로구 종로5가 395-4 ,37.5702797,127.0011234,03195 서울 종로구 동호로 403-23 (예지동) ,02-2273-8330,,매일 09:30 ~ 21:00,1호선 종로5가역 7번 출구에서 약 99m (도보 1분),,김밥
14290,ko,슈치쿠,https://korean.visitseoul.net/restaurants/슈치쿠/KOP014288?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014288,150-763 서울 영등포구 여의도동 60 ,37.5198332,126.9400724,"07345 서울 영등포구 63로 50 (여의도동, 63한화생명빌딩) 58층",0507-1401-5751,http://www.63restaurant.co.kr/,월요일~토요일 11:30 ~ 15:00 / 17:30 ~ 22:00 일요일 11:30 ~ 15:00 / 17:10 ~ 21:30,"9호선, 신림선 샛강역 3번 출구에서 약 1.2km (도보 18분)",,"스시, 사시미"
7086,ko,동해별관,https://korean.visitseoul.net/restaurants/동해별관1/KOP007083?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007083,135-010 서울 강남구 논현동 198-18,37.5056023,127.0254229,06120 서울특별시 강남구 강남대로112길 13 (논현동) ,02-3445-7979,,17:00 - 22:30,9호선 신논현 3번 출구  ,,물회
7880,ko,홀리차우,https://korean.visitseoul.net/restaurants/홀리차우/KOP007880?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007880, 서울 영등포구 여의도동 23-10 ,37.5242533,126.9248806,"07325 서울 영등포구 국제금융로2길 24 (여의도동, BNK금융타워) 지하 1층",02-786-3333,http://www.holeechow.co.kr,평일 11:00~21:30 (Last order 21:00) 주말 11:30~21:30 (Last order 21:00),"5,9호선 여의도역 3번 출구",,"머니백 덤플링스, 홀리즈 하우스 볶음밥"
13653,ko,스노브,https://korean.visitseoul.net/restaurants/스노브/KOP013651?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013651, 서울 마포구 상수동 86-53 86-53,37.5497904,126.922876,04049 서울 마포구 와우산로 59 (상수동) ,02-325-5770,http://www.snobblue.com,12:00~21:00 ,6호선 상수역 1번 출구에서 약 214m (도보 3분),,케이크
13672,ko,당고집,https://korean.visitseoul.net/restaurants/당고집/KOP013671?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013671,121-883 서울특별시 마포구 합정동 356-9,37.5472359,126.9193156,04073 서울특별시 마포구 어울마당로3길 5 (합정동) ,070-7573-3164,,화요일~일요일 12:00 ~ 21:00,6호선 상수역 4번 출구에서 약 347m (도보 5분),,"벚꽃당고, 간장당고, 단팥당고, 명란버터밥"
6054,ko,충무김밥,https://korean.visitseoul.net/restaurants/충무김밥/KOP006052?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006052, 서울 중구 명동2가 32-11 ,37.5631335,126.9852047,04536 서울 중구 명동10길 16 (명동2가) ,02-755-8488,,평일 09:30 ~ 22:00 주말 09:00 ~ 22:00,4호선 명동역 8번 출구에서 약 252m (도보 3분) ,,충무김밥 
12288,ko,서린낙지,https://korean.visitseoul.net/restaurants/서린낙지-K/KOP012284?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012284,110-121 서울특별시 종로구 종로1가 24,37.5704585,126.9798503,03157 서울특별시 종로구 종로 19 (종로1가) ,02-735-0670,,11:30 ~ 15:00 / 17:00 ~ 21:30,"5호선 광화문역 3,4번 출구 1호선 종각역 1번 출구 ",,
4494,ko,장원족발,https://korean.visitseoul.net/restaurants/장원집/KOP004494?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004494,110-888 서울 종로구 종로1가 24 ,37.5704585,126.9798503,03157 서울 종로구 종로 19 (르메이에르종로타운) 1층,02-734-7230,,매일 07:00~24:00,1호선 종각역 1번 출구에서 약 236m (도보 3분),,"돌솥비빔밥, 오징어볶음, 떡만두국, 족발, 감자탕"
13223,ko,엔그릴,https://korean.visitseoul.net/restaurants/N그릴1/KOP013223?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013223, 서울 용산구 용산동2가 산 1-3 1-3,37.5489419,126.9894041,"04340 서울 용산구 남산공원길 105 (용산동2가, YTN서울타워) 7층",02-3455-9297,http://www.ngrill.co.kr/,평일 12:00 - 15:00 / 17:00 - 22:00 주말 11:00 - 15:00 / 17:00 - 22:00,4호선 명동역 3번 출구  ,,
